duplicate_group,sha1,size_bytes,file_name,path,detected_type,duplicate_count
1,5d63a05824c17b199fdacaaa8edc37c74672dcda,541264,详情页_01.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/详情页/images/详情页_01.jpg,gallery,2
1,5d63a05824c17b199fdacaaa8edc37c74672dcda,541264,详情页_01.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/images/详情页_01.jpg,gallery,2
2,605ece787a4eb1d99563cee05914c5017e7cd78f,678505,详情页_05.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/详情页/images/详情页_05.jpg,gallery,2
2,605ece787a4eb1d99563cee05914c5017e7cd78f,678505,详情页_05.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/images/详情页_05.jpg,gallery,2
3,dfb63b1dff3dcd6f3bb1daec2f5ea9a8d6b4409c,445847,详情页_03.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/详情页/images/详情页_03.jpg,gallery,2
3,dfb63b1dff3dcd6f3bb1daec2f5ea9a8d6b4409c,445847,详情页_03.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/images/详情页_03.jpg,gallery,2
4,e830f3aff8d8ef18ee651165ae76a23ca2460add,594955,详情页_04.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/详情页/images/详情页_04.jpg,gallery,2
4,e830f3aff8d8ef18ee651165ae76a23ca2460add,594955,详情页_04.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/images/详情页_04.jpg,gallery,2
5,f6cab734823d2921550231030e02541dc2f6930b,559458,详情页_02.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/详情页/images/详情页_02.jpg,gallery,2
5,f6cab734823d2921550231030e02541dc2f6930b,559458,详情页_02.jpg,/Users/ury/Downloads/project/问兰微信小程序/prod/问兰素材/素材2-24/images/详情页_02.jpg,gallery,2
